,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
360,Sabya,100,YE,1560208048,62,16.19,43.1,93.11,4.09
361,Tubmanburg,93,LR,1560208050,99,6.87,-10.82,73.13,2.48
362,Bonga,90,ET,1560208051,98,7.26,36.25,56.39,0.74
363,Butembo,100,CD,1560208052,95,0.12,29.29,63.41,3.42
364,Mossendjo,4,CG,1560208053,91,-2.95,12.72,68.45,1.77
365,San Carlos del Zulia,99,VE,1560208055,84,9.0,-71.91,78.71,3.98
366,Maneromango,0,TZ,1560208056,88,-7.2,38.78,71.6,4.03
367,Jacmel,75,HT,1560208057,62,18.24,-72.54,87.8,10.29
368,Najran,0,SA,1560208058,28,17.54,44.22,82.4,3.56
369,Conceicao do Araguaia,11,BR,1560208059,66,-8.26,-49.26,77.45,1.28
370,Mahates,75,CO,1560208061,83,10.23,-75.19,84.2,5.82
371,Bosobolo,32,CD,1560208062,63,4.19,19.88,73.85,3.36
372,Kaura Namoda,73,NG,1560208063,49,12.59,6.58,88.25,12.06
